andershoyvikhidle|Anders Høyvik Hidle|Hidle, Anders Høyvik|Hidle, Anders Høyvik|Composer|
andoniosliveralis|Andonios Liveralis|Liveralis, Andonios|Liveralis, Andonios (1814-1842)|Composer|Romantic
andre|Johann André|André, Johann|André, Johann (1741-1799)|Composer|Classical
andreabernasconi|Andrea Bernasconi|Bernasconi, Andrea|Bernasconi, Andrea (c1706-1784)|Composer|Classical
andreacimaor|Andrea Cima|Cima, Andrea|Cima, Andrea (c1580-after 1627)|Composer|Baroque
andreafalconieri|Andrea Falconieri|Falconieri, Andrea|Falconieri, Andrea (1585-1656)|Composer|Baroque
andreaferro|Andrea Ferro|Ferro, Andrea|Ferro, Andrea|Composer|
andreagabrieli|Andrea Gabrieli|Gabrieli, Andrea|Gabrieli, Andrea (1510-1586)|Composer|Renaissance
andrealuchesi|Andrea Luchesi|Luchesi, Andrea|Luchesi, Andrea (1741-1801)|Composer|Classical
andreasarmsdorff|Andreas Armsdorff|Armsdorff, Andreas|Armsdorff, Andreas (1670-1699)|Composer|Baroque
andreaschylinski|Andreas Chyliński|Chyliński, Andreas|Chyliński, Andreas (c1590-after 1635)|Composer|Baroque
andrzejchyliński|Andreas Chyliński|Chyliński, Andreas|Chyliński, Andreas (c1590-after 1635)|Composer|Baroque
andreasduben|Andreas Düben|Düben, Andreas|Düben, Andreas (1597-1662)|Composer|Baroque
andreashakenberger|Andreas Hakenberger|Hakenberger, Andreas|Hakenberger, Andreas (1574-1627)|Composer|Baroque
andreashammerschmidt|Andreas Hammerschmidt|Hammerschmidt, Andreas|Hammerschmidt, Andreas (1611/1612-1675)|Composer|Baroque
andreashofer|Andreas Hofer|Hofer, Andreas|Hofer, Andreas (1629-1684)|Composer|Baroque
andreaskisser|Andreas Kisser|Kisser, Andreas|Kisser, Andreas|Composer|
andreaskneller|Andreas Kneller|Kneller, Andreas|Kneller, Andreas (1649-1724)|Composer|Baroque
andreasraselius|Andreas Raselius|Raselius, Andreas|Raselius, Andreas (1562-1602)|Composer|Baroque
andreasromberg|Andreas Romberg|Romberg, Andreas|Romberg, Andreas (1767-1821)|Composer|Classical
andreaswerckmeister|Andreas Werckmeister|Werckmeister, Andreas|Werckmeister, Andreas (1645-1706)|Composer|Baroque
andreazani|Andrea Zani|Zani, Andrea|Zani, Andrea (1696-1757)|Composer|Classical
andrecampra|André Campra|Campra, André|Campra, André (1660-1744)|Composer|Baroque
andrecardinaldestouches|André Cardinal Destouches|Destouches, André Cardinal|Destouches, André Cardinal (1672-1749)|Composer|Baroque
andreernestmodestegretry|André Ernest Modeste Grétry|Grétry, André Ernest Modeste|Grétry, André Ernest Modeste (1741-1813)|Composer|Classical
andrejolivet|André Jolivet|Jolivet, André|Jolivet, André (1905-1974)|Composer|20th Century
andreprevin|André Previn|Previn, André||Conductor|
andreraison|André Raison|Raison, André|Raison, André (1640s-1719)|Composer|Baroque
andresdesola|Andrés de Sola|Sola , Andrés de|Sola , Andrés de (1634-1696)|Composer|Baroque
andrewcarwood|Andrew Carwood|Carwood, Andrew||Conductor|
andrewdwiggins|Andrew Dwiggins|Dwiggins, Andrew|Dwiggins, Andrew|Composer|
andrewkirkman|Andrew Kirkman|Kirkman, Andrew||Conductor|
andrewlitton|Andrew Litton|Litton, Andrew||Conductor|
